part_number;description;image_url;source_page;status
656363-B21;HPE 750W COMMON SLOT PLATINUM PLUS HOT PLUG POWER SUPPLY KIT;https://partsurfer.hpe.com/ShowPhoto.aspx?partnumber=142258-001;Search;no_bom
867958-B21;HPE PROLIANT DL360 GEN10 4LFF CONFIGURE-TO-ORDER SERVER;https://partsurfer.hpe.com/ShowPhoto.aspx?partnumber=489190-001;Search;no_bom
870759-B21;HPE 900GB SAS 12G MISSION CRITICAL 15K SFF SC 3-YEAR WARRANTY MULTI VENDOR HDD;https://partsurfer.hpe.com/ShowPhoto.aspx?partnumber=870795-001;Search;no_bom
872479-B21;HPE 1.2TB SAS 12G MISSION CRITICAL 10K SFF SC 3-YEAR WARRANTY MULTI VENDOR HDD;https://partsurfer.hpe.com/ShowPhoto.aspx?partnumber=872737-001;Search;no_bom
867982-B21;HPE DL360 GEN10 LOW PROFILE RISER KIT;https://partsurfer.hpe.com/ShowPhoto.aspx?partnumber=875539-001;Search;no_bom
804326-B21;HPE SMART ARRAY E208I-A SR GEN10 (8 INTERNAL LANES/NO CACHE) 12G SAS MODULAR CONTROLLER;https://partsurfer.hpe.com/ShowPhoto.aspx?partnumber=836259-001;Search;no_bom
455883-B21;HPE BLADESYSTEM C-CLASS 10GB SFP+ SR TRANSCEIVER;https://partsurfer.hpe.com/ShowPhoto.aspx?partnumber=456096-001;Search;no_bom
865414-B21;HPE 800W FLEX SLOT PLATINUM HOT PLUG LOW HALOGEN POWER SUPPLY KIT;https://partsurfer.hpe.com/ShowPhoto.aspx?partnumber=142258-001;Search;no_bom
874543-B21;HPE GEN10 1U SFF EASY INSTALL RAIL KIT;https://partsurfer.hpe.com/ShowPhoto.aspx?partnumber=875544-001;Search;no_bom
817753-B21;HPE ETHERNET 10/25GB 2-PORT SFP28 MCX4121A-ACUT ADAPTER;https://partsurfer.hpe.com/ShowPhoto.aspx?partnumber=840140-001;Search;no_bom
P19765-B21;HPE PROLIANT DL360 GEN10 4LFF NC CONFIGURE-TO-ORDER SERVER;https://partsurfer.hpe.com/ShowPhoto.aspx?partnumber=875568-001;Search;no_bom
P19766-B21;HPE PROLIANT DL360 GEN10 8SFF NC CONFIGURE-TO-ORDER SERVER;https://partsurfer.hpe.com/ShowPhoto.aspx?partnumber=875566-001;Search;no_bom
P24487-B21;INTEL XEON-GOLD 6248R (3.0GHZ/24-CORE/205W) PROCESSOR KIT FOR HPE PROLIANT DL360 GEN10;https://partsurfer.hpe.com/ShowPhoto.aspx?partnumber=875283-001;Search;no_bom
P00930-B21;HPE 64GB (1X64GB) DUAL RANK X4 DDR4-2933 CAS-21-21-21 REGISTERED SMART MEMORY KIT;https://partsurfer.hpe.com/ShowPhoto.aspx?partnumber=P06192-001;Search;no_bom
P18422-B21;HPE 480GB SATA 6G READ INTENSIVE SFF SC MULTI VENDOR SSD;https://partsurfer.hpe.com/ShowPhoto.aspx?partnumber=P18482-001;Search;no_bom
P08440-B21;HPE ETHERNET 10GB 2-PORT FLR-SFP+ BCM57414 ADAPTER;https://partsurfer.hpe.com/ShowPhoto.aspx?partnumber=P12925-001;Search;no_bom
P38995-B21;HPE 800W FLEX SLOT PLATINUM HOT PLUG LOW HALOGEN POWER SUPPLY KIT;https://partsurfer.hpe.com/ShowPhoto.aspx?partnumber=P39385-001;Search;no_bom
P38411-B21;HPE PROLIANT DL385 GEN10 PLUS V2 8SFF CONFIGURE-TO-ORDER SERVER;https://partsurfer.hpe.com/ShowPhoto.aspx?partnumber=875096-001;Search;no_bom
P02377-B21;HPE SMART STORAGE HYBRID CAPACITOR WITH 145MM CABLE KIT;https://partsurfer.hpe.com/ShowPhoto.aspx?partnumber=P07473-001;Search;no_bom
P26279-B21;HPE MR416I-A GEN10 PLUS X16 LANES 4GB CACHE NVME/SAS 12G CONTROLLER;https://partsurfer.hpe.com/ShowPhoto.aspx?partnumber=P28335-001;Search;no_bom
